name,number,num
ALBANY INTERNATIONAL LIMITED,96177,263728
API LAMINATES LIMITED,173955,1664263
ATKINSON & KIRBY LIMITED,215881,10216247
ASTLEY DYE AND CHEMICAL COMPANY LIMITED,239373,9594989
A. POLLICK LIMITED,283265,2202329
ATTWATER & SONS LIMITED,354338,3710226
A P M G LIMITED,358231,6582352
ADAMENT REFRACTORY SETTINGS LIMITED,367171,7984465
ACCENT HOUSEHOLD TEXTILES LIMITED,386940,7370670
ANODISING & PLATINGS LTD,401536,11383870
A.ALGEO LIMITED,437100,6221388
AUDIX SYSTEMS LIMITED,443219,10488821
A.M.PRINT LIMITED,483588,7530508
ARLEY CABINET CO. LIMITED,511561,5488739
AMANN THREADS UK LIMITED,519347,10382395
"AUSTIN, WOLSTENCROFT & CO. LIMITED",539260,10677823
ACRU ELECTRIC TOOL MANUFACTURING CO. LIMITED(THE),539360,8802453
AXIOM MARKETING SERVICES LIMITED,544939,8805698
A.H.TOMLINSON PARBANS LIMITED,565088,6868148
ARTHUR ELKIN(SKIRTS)LIMITED,566288,7341415
ASTRA DOOR CONTROLS LTD,576715,9497424
ASHTON JIG AND TOOL COMPANY LIMITED,604021,10408758
ATLAS 21 LTD,608269,10747660
AUTO SCALES & SERVICE CO.LIMITED,627886,5901202
ARTHUR CHATWIN LIMITED,716597,7431785
ALDERSONS(ENGINEERING)LIMITED,719363,6479700
ALAN NORTHROP LIMITED,727461,4100265
ACRASTYLE LIMITED,728049,9330153
AUTO-MASTERS LIMITED,768855,6819226
ANTONELLI BROS.LIMITED,774204,10841872
AUTO MARINE CABLES LIMITED,804767,5555114
AUTAC PRODUCTS LIMITED,830676,7339512
A. & I. HOLMES & CO. LIMITED,841813,11430178
ALLIANCE & HEATSHIELD ENGINEERING (SOUTH WALES) LIMITED,845676,11031758
APEL LIMITED,851208,10443642
ASCOTEX LIMITED,874811,10361321
AINSDALE PRESS LIMITED(THE),880572,10783073
ALBIS (U.K.) LIMITED,886913,5861500
ADHESIVE DEVELOPMENTS LIMITED,915239,1794483
A. PARSONS & CO (LIVERPOOL) LIMITED,925103,5859297
ASPULL ELECTRICAL SERVICES LIMITED,930299,7455186
AFS ROTEL LIMITED,936177,10234223
ARCHITECTURAL & BUILDING PRODUCTS LIMITED,938926,11377974
ADVANCED ENGINEERING (MIDDLETON) LIMITED,940726,10279938
ALLMAND - SMITH LIMITED,960001,5161505
A.M.H. PRECISION TOOLS LIMITED,983315,6994779
AJAX EQUIPMENT LIMITED,987764,10923274
AMERICHEM EUROPE LIMITED,1009410,10989284
A. SCHULMAN THERMOPLASTIC COMPOUNDS LIMITED,1018237,1024865
ARBOGA-DARENTH LIMITED,1048823,10697147
