Engineering Company Number,Manufacturing Company Number
11393377,263728
10966346,10216247
6158968,9594989
11503575,11615935
10770109,2202329
10457621,3710226
1329976,6582352
8746898,7984465
11439230,7370670
11399123,11383870
11526392,6221388
10495851,9244790
9837709,10488821
9785441,7530508
11425186,5488739
9897661,10677823
11692369,8802453
10371521,8805698
9127871,6868148
11170115,7341415
8526848,9497424
11719231,10408758
11578729,10496622
7588288,10523361
10434565,10747660
10211958,7431785
10884618,6479700
10183056,4100265
11704879,9330153
11694796,6819226
5869014,10841872
11101256,5555114
11791644,7339512
10855922,11031758
11525736,10443642
10964450,4952861
11714239,10361321
10218674,10783073
5487867,5861500
10885177,1794483
10963696,5859297
11069861,10234223
11463469,11377974
11628398,10279938
9356484,5161505
11227104,6994779
11731166,10923274
8150757,10989284
6998489,1024865
7995460,10697147
11183174,6760428
8498567,10881733
11226387,4653528
11280752,6796195
11016951,8997600
9261506,10695643
11800151,5716139
10643787,8491819
11796210,5077303
7627888,9815709
6223308,8492279
10759655,9617674
10446700,7010727
9580986,7379189
9260184,10452129
11077678,4163142
8708612,10941503
11726668,7966007
8421944,11231978
9072279,10569623
11387471,10838093
11341865,3727510
9919829,7550358
11584526,8050661
11186531,11215889
11320820,5329883
8735887,10671377
11281492,11294103
8779705,7199032
9000395,10111757
9686972,11714656
2782999,7223439
11667378,6651814
11561354,11353841
3201538,6767739
10652082,11696947
10997315,11102819
11240028,9795344
6019144,10676543
2498429,10254000
11081200,2884442
11477430,10461105
8706059,8552479
3372808,1705106
7004021,11414358
11055529,11700592
7743847,6851392
9215960,11584353
11228848,11371504
11694687,9638727
5562189,8114942
11601381,10793473
11353226,5329455
11415092,1887417
6531026,4056359
10612628,7687133
9963968,6879676
11011129,2098549
10650606,2929703
7749997,3417627
11749587,4762807
10688112,8946181
10117692,6976245
11062485,4304279
10060428,4521123
11111910,4503274
11259485,5178483
10837367,8158779
11641245,10518956
11329751,9339249
6565566,7687806
10695095,2925827
10854487,9786103
11347253,8583175
11735152,8970671
11671510,9071685
8094073,5734540
8715040,9791202
9051718,4769909
11532004,11461520
11728339,10387088
9180829,8776147
11283242,10668940
11637424,8072188
10026179,9600023
7581712,9024623
7195701,7138605
6204438,6423740
8372969,4658913
11549815,7030548
8301004,5871832
10733275,2782160
2464591,11655900
11470126,10098247
11469521,9682530
11594125,11013152
6472312,7753491
5948344,8287086
6561712,10739176
3016317,8903035
6186676,2770931
5466103,10868264
11604898,10314645
11704596,9589759
10947424,7312184
11733892,8058628
11078652,10623996
11332110,10665169
11356294,10325219
11687012,10983037
11645960,11385665
9552411,4683115
8822236,6859685
11615657,11115123
11569089,10925408
1448830,7172813
3293072,9719254
3300272,9761821
11009514,10731347
11700484,10542935
6155663,9245688
5253067,4692415
11230414,9570061
10416919,11243699
9419456,11148686
11551930,10756807
8421005,8915083
11189858,11298332
10597420,4779898
6085463,4619724
11232738,11254422
4937612,10831678
11660082,11380124
9186050,11691224
10794225,10060464
4602241,10810919
11795571,9741383
7850593,7798196
11749729,10839963
8701786,11523747
8029515,9492865
10973837,10838212
11348197,11314959
8135836,10535263
11441987,2727518
10063301,4677862
10894384,9738045
5420606,9289488
11594644,6487618
11417456,1538893
11636060,5954015
11614676,4776526
11110859,925103
11723238,283265
10945741,1018237
11609435,1059755
8515891,1718996
11196691,437100
8096687,3245354
9631313,7767343
11252239,5674830
7726248,8512816
10090648,3764571
11318545,3428169
11206740,7436417
11782885,8121900
8640793,9791147
11209315,1125961
3848754,5770379
11290077,711612
7876206,9833907
3442515,2645507
11755449,2212402
8435369,6643776
11678948,6694689
11465373,2233870
11487848,7996677
9595678,10815988
3685063,1656178
2088350,10159873
3365050,5347855
10819998,8670966
10445521,7786175
6581827,9211257
10612781,565088
11325712,10382493
11354699,4693127
11575028,1278168
11222485,4344835
11347899,9412437
10995127,10268958
11132573,1117430
6968353,4997027
10996808,1483961
11365923,2192422
11159594,483588
11480520,11311454
11632667,1658454
11260452,1392082
11183826,4730811
11217826,10650697
11142709,2483784
10984738,1055095
9183094,3670294
8571782,10926189
7949931,1406834
11266894,1939827
11458681,11381329
10813265,4524635
6147732,9562476
11144856,3114116
11564706,11728252
7440895,9205180
11736394,3511898
11454110,4571099
7899238,4401215
7584249,6004972
3550737,4743793
11719312,4859429
11399229,6971313
10795351,2323242
11314390,5414878
8174320,7809587
11665822,11646156
11691762,6659851
11668945,3491859
8326591,7236259
11703164,6857461
10708109,6904634
8375645,8669795
7611906,8843287
10925461,11080984
7986800,11705681
3456645,9190736
6156725,7234733
5102662,11256239
11485423,10030919
9022826,11649821
11350344,10262556
11607658,4637848
9613449,9793228
11426718,11665763
11465936,10146770
10930241,11100736
11060642,8877132
11628977,5622935
11481349,7331588
11575042,8159306
11772870,10695605
9507458,3882707
11542425,10815874
9019800,11532205
10940930,3780764
10613364,10343213
10021481,4731756
11689190,8752738
11375308,11003104
7014644,5350693
11395775,10899494
5172371,4499675
9183623,6324872
11204501,2504063
9903417,5015035
709281,4767875
10487348,10300052
11693098,11243200
9183441,1793834
11251822,2567897
11789335,5608247
6851065,4128423
6145505,1599650
11286279,3987514
10165218,2736698
11592100,6955906
6009372,7524474
11293510,7967201
8689795,5066995
7640146,4122111
11788607,3628523
11591238,10156561
11028965,2776878
11230134,7753873
3496306,11073573
2802519,4555613
11192506,10960067
8822287,8780768
10878865,10463917
9871698,8496707
11325948,7783760
2804093,6793928
11064473,10842166
8784957,5556241
10671925,7308677
10766182,7256446
11523513,4949795
8311898,11658660
11440858,10184636
8585975,6354310
11405518,1593258
11643781,10825853
10553132,8583910
4613095,8867393
5213816,4882353
5214500,11403494
9536981,5101759
